"gs_name","gene_list"
"Artificial reactions",""
"Ascorbate and aldarate metabolism","GLRX2,GLRX,LIPA,CEL,RGN,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1"
"Beta oxidation of branched-chain fatty acids (mitochondrial)","ACADL,ACADM,HADHA,ECHS1,AMACR,ACADL,ACADM,HADHA,ECHS1,ACADL,ACADM,ECHS1"
"Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)","ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ECH1,ECI1,ECI2,HADHA,ECHS1,ACADVL,ACADL,ACADM,ACAD9,ECI1,ECI2"
"Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)","ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1"
"Beta oxidation of even-chain fatty acids (mitochondrial)","ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACOX3,ACADL,ACADM,ACOX1,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ECHS1,ACOX3,ACOX1,ACADM,ACAD9,HADHA,ECHS1,ACOX3,ACOX1,ACADM,ACAD9,HADHA,ECHS1,ACOX3,ACOX1,ACADSB,HADHA,ECHS1,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9,ACAA1,HSD17B10,ACADVL,HADHA,ACADL,ACADM,ECHS1,HADHB,HADH,ACAA2,ACAD9"
"Beta oxidation of even-chain fatty acids (peroxisomal)","ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1"
"Beta oxidation of odd-chain fatty acids (mitochondrial)","ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADM,ACAD9,HADHA,ECHS1,ACADM,ACAD9,HADHA,ECHS1,ACADM,ACAD9,HADHA,ECHS1,ACADSB,ECHS1"
"Beta oxidation of odd-chain fatty acids (peroxisomal)",""
"Beta oxidation of phytanic acid (peroxisomal)","SLC27A2,SLC27A2,PHYH,HACL1,PHYH,AMACR,SLC27A2,ACOX3,ACOX1,ACOX3,ACOX1,AMACR,ACOX3,ACOX1"
"Beta oxidation of poly-unsaturated fatty acids (mitochondrial)","ACOX3,ACOX1,DECR1,HADHA,ACOX3,ACOX1,DECR1,HADHA,ACOX3,ACOX1,DECR1,HADHA,DECR1,ACOX3,ACOX1,HADHA"
"Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)","ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ECH1,ECI1,ECI2"
"Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)","ACOX3,ACOX1,ACOX3,ACOX1"
"Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)","ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ACADVL,ACADL,ACADM,ACAD9,HADHA,ECH1,ECI1,ECI2"
"Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)","ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1,ACOX3,ACOX1"
"Beta-alanine metabolism","SMOX,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,GAD1,GAD2,ABAT,UPB1,CARNS1,CNDP2,CNDP1,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,ALDH9A1,ECHS1,AOC1,AOC3,AOC2,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,HIBCH,ALDH2,ALDH1B1,ALDH4A1,EHHADH"
"Bile acid biosynthesis","CYP7A1,HSD3B7,HSD3B7,CYP8B1,CYP8B1,AKR1D1,AKR1C4,AKR1C2,AKR1C1,AKR1C3,AKR1C4,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,SLC27A5,SLC27A2,SLC27A5,SLC27A2,SLC27A5,SLC27A2,AMACR,ACOX3,ACOX1,ACAA1,SCP2,MYO5B,IDH3G,PDZD4,ABCD1,SLC6A8,PNCK,SRPK3,BCAP31,ACOT8,ACOT8,BAAT,BAAT,BAAT,AKR1D1,AKR1C2,AKR1C1,AKR1C3,AKR1C4,AKR1C4,CYP27A1,CYP27A1,ADHFE1,ADH6,ADH1A,ADH7,ADH1B,ADH5,ADH4,ADH1C,CYP27A1,CYP27A1,CYP27A1,CYP27A1,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,CYP27A1,SLC27A5,SLC27A2,SLC27A5,SLC27A2,SLC27A5,SLC27A2,AMACR,ACOX2,EHHADH,HSD17B4,ACAA1,SCP2,MYO5B,ACOT7,ACOT2,BAAT,ACOT4,ACOT1,ACOT6,ACOT7,ACOT2,BAAT,ACOT4,ACOT1,ACOT6,BAAT,BAAT,BAAT,SLC27A5,SLC27A2,SLC27A5,SLC27A2,SULT2A1,STS,CYP46A1,CYP39A1,HSD3B7,CYP8B1,AKR1D1,AKR1D1,AKR1C4,AKR1C4,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,SLC27A5,SLC27A2,SLC27A5,SLC27A2,AMACR,AMACR,CYP27A1,CYP7B1,HSD3B7,CYP8B1,AKR1D1,AKR1D1,AKR1C4,AKR1C4,CH25H,CYP7B1,HSD3B7,CH25H,HSD3B1,HSD3B2,CH25H,CH25H,CH25H,CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP2E1,CYP27A1,CYP2E1,CYP27A1,CYP27A1,CYP2E1,CYP27A1,CYP27A1,CYP2E1,CYP27A1,CYP2E1,CYP27A1,CYP27A1,CYP27A1,CYP3A4,CYP27A1,HSD17B14,HSD3B7,DHRS2,HTATIP2,RDH10,MDH1B,RDH12,CBR4,CTBP1,RDH13,BDH2,HSD11B1L,SDR9C7,SDR16C5,HSD11B2,SDR42E2,SDR42E1,WWOX,AKR1C1,ADH5,AKR1B10,HSD17B11,AKR1C4,HSD17B8,AKR1B15,RDH14,CYP3A4,CYP3A4,CYP3A4,CYP7A1,CYP7A1,SLC27A5,SLC27A2,SLC27A5,SLC27A2,BAAT,BAAT,CYP3A4,CYP8B1,CYP8B1,BAAT,BAAT,SULT2A1,BAAT,BAAT,SULT2A1,ACOT7,ACOT2,BAAT,ACOT4,ACOT1,ACOT6,ACOT9,CDO1,GAD1,GAD2,CSAD,ADO,GAD1,GAD2,CSAD,AMACR,AMACR,AMACR,BAAT,BAAT,BAAT,HSD17B4,CYP27A1,CYP39A1,CYP46A1,CYP7B1,SCP2,HSD3B7,HSD3B1,HSD3B2,CYP27A1,CYP27A1,ACOT7,ACOT2,SCP2,SCP2,CYP27A1,CYP27A1,CYP27A1,ALDH3A1,ALDH9A1,ALDH2,ALDH1B1,ALDH7A1,ALDH3A2,ALDH3A1,BAAT,BAAT,ABCB11,ABCC3,ABCC11,ABCB11,ABCC3,ABCC11,CYP3A4,CYP3A4,CYP3A4,CYP3A4,UGT2A1,UGT2A1,SULT2A1,UGT2A3,UGT2A1,UGT1A3,UGT2A3,UGT2A1,UGT1A3,UGT2A3,UGT2B7,UGT2A1,UGT2A3,UGT2B7,UGT2A1,CYP3A4,UGT2B7,UGT2A1,UGT2B7,UGT2A1,UGT2B7,UGT2A1,UGT2B7,UGT2A1,SULT2A1,SULT2A1,SULT2A1,SULT2A1,SULT2A1,UGT2A3,UGT2B7,UGT2A1,UGT2A3,UGT2B7,UGT2A1,UGT2B4,UGT2B7,UGT2B4,UGT2B7,UGT2A3,UGT2A1,UGT1A3,UGT2A3,UGT2A1,UGT1A3,UGT2A3,UGT2B4,UGT2B7,UGT2A1,UGT2A3,UGT2B4,UGT2B7,UGT2A1,UGT2A3,UGT2B7,UGT2A1,UGT1A3,UGT2A3,UGT2B7,UGT2A1,UGT1A3,UGT2A3,UGT2B7,UGT2A1,UGT2A3,UGT2B7,UGT2A1,SULT2A1,SULT2A1,CYP3A4,SULT2A1,SULT2A1,SULT2A1,SULT2A1"
"Bile acid recycling","STS,SLC27A5,SLC27A2,ABCC2,ABCC1,SLC10A1,SLC10A2,SLC10A1,SLC10A2,SLC10A1,SLC10A2,SLC10A1,SLC10A2,SLC10A1,SLC10A2,SLC10A1,SLC10A2,ABCB11,ABCC3,ABCC4,SLC51A,SLC51B,ABCC11,ABCB11,ABCC3,ABCC4,SLC51A,SLC51B,ABCC11,ABCB11,ABCC1,ABCC3,ABCC4,SLC51A,SLC51B,ABCB11,ABCC3,ABCC4,SLC51A,SLC51B,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,SLC7A9,SLCO1A2,SLCO1B3,ABCC2,ABCC1,ABCC3"
"Biopterin metabolism","GCH1,GCH1,PTS,SPR,SPR,SPR,GCH1,GCH1,QDPR,PCBD2,PCBD1,PCBD2,PCBD1,PCBD2,PCBD1,PCBD2,PCBD1,PCBD2,PCBD1,PCBD2,PCBD1,ALPL,ALPP,ALPG,ALPI,GCH1,GCH1,GCH1,GCH1,GCH1,GCH1,PCBD2,PCBD1,PTS,SPR,TPH1,TPH2"
"Biotin metabolism","BTD,BTD,BTD,HLCS,HLCS,HLCS,BTD,HLCS"
"Blood group biosynthesis","FUT1,FUT2,ABO,FUT5,FUT6,FUT3,ABO,FUT5,FUT6,FUT3,FUT5,FUT6,FUT3,B3GNT5,B3GALT5,B3GNT3,B3GNT2,B3GNT3,FUT1,FUT2,ABO,ABO,B3GNT3,FUT1,FUT2,FUT9,ABO,FUT1,FUT2,ABO,B3GNT3,FUT1,FUT2,ABO,ABO,ABO,B3GNT2,B3GNT3,FUT9,FUT9,FUT9,GCNT2,B3GNT3,ST3GAL4,ST3GAL3,FUT3,FUT9,ST3GAL6,FUT9,ST8SIA5,FUT9,FUT9,FUT9,FUT9,FUT9,ST3GAL6,B3GNT3,B3GNT3,FUT1,FUT3,FUT9"
"Butanoate metabolism","L2HGDH,PHGDH,ACAT2,AACS,ACADM,ACADS,ACAD8,ACAD9,ACADSB,ACAD11,BDH1,BDH2,HMGCS1,LDHB,LDHC,LDHAL6A,LDHAL6B,ECHDC2"
"C5-branched dibasic acid metabolism","AUH,CLYBL,ACOD1"
"Carnitine shuttle (cytosolic)","CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B,CPT1A,CPT1C,CPT1B"
"Carnitine shuttle (endoplasmic reticular)","SLC22A5,CRAT,SLC25A20,SLC25A29,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT,CPT1A,CPT1C,CPT1B,SLC22A5,CRAT"
"Carnitine shuttle (mitochondrial)","SLC25A20,CRAT,CPT2,SLC25A20,CROT,SLC25A20,SLC25A29,CRAT,CPT2,SLC25A20,SLC25A29,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2,SLC22A9,SLC22A1,SLC25A20,SLC25A29,SLC22A4,CRAT,CPT2"
"Carnitine shuttle (peroxisomal)","CPT1A,CPT1C,CPT1B,CRAT,CRAT,SLC25A20,SLC25A29,CROT,SLC25A20,SLC25A29,CRAT"
"Cholesterol biosynthesis 1 (Bloch pathway)","HMGCR,MVK,PMVK,IDI1,IDI2,FDFT1,FDFT1,SQLE,LSS,CYP51A1,CYP51A1,CYP51A1,LBR,TM7SF2,MSMO1,FAXDC2,MSMO1,FAXDC2,MSMO1,FAXDC2,NSDHL,NSDHL,HSD17B7,MSMO1,FAXDC2,MSMO1,FAXDC2,MSMO1,FAXDC2,NSDHL,HSD17B7,EBP,SC5D,DHCR7,DHCR24"
"Cholesterol biosynthesis 2","DHCR24,SC5D,SC5D,DHCR7"
"Cholesterol biosynthesis 3 (Kandustch-Russell pathway)","DHCR24,CYP51A1,CYP51A1,CYP51A1,LBR,TM7SF2,MSMO1,FAXDC2,MSMO1,FAXDC2,MSMO1,FAXDC2,NSDHL,HSD17B7,MSMO1,FAXDC2,MSMO1,FAXDC2,MSMO1,FAXDC2,NSDHL,HSD17B7,EBP"
"Cholesterol metabolism","HMGCS1,MVD,GGPS1,FDPS,GGPS1,FDPS,CYP27A1,DHCR24,AACS,HMGCL,HMGCLL1,ACAT2,HMGCR,TM7SF2,NSDHL,NSDHL,HSD17B4,MSMO1,NSDHL,MSMO1,NSDHL,DHCR24,DHCR7,DHCR7,FDPS,MVD,EBP,FDPS,HMGCR,HMGCL,IDI1,IDI2,CYP4F8,LSS,SC5D,SC5D,CYP7A1,MVK,PMVK,SQLE,FDFT1,FDFT1,FDFT1,CYP51A1,DHCR24,HSD17B7,DHCR24,EBP,DHCR7,TM7SF2,TM7SF2,DHCR24,LIPA,CEL,LIPA,CEL,LIPA,CEL,LIPA,CEL,LIPA,CEL,LIPA,CEL,GGPS1"
"Chondroitin / heparan sulfate biosynthesis","XYLT2,XYLT1,B4GALT7,B3GALT6,B3GAT1,B3GAT2,B3GAT3,CSGALNACT1,CSGALNACT2,EXTL3,EXTL2,EXTL3,EXTL1,EXTL3,EXTL1,EXTL3,EXTL1,EXTL3,EXTL1,NDST1,NDST4,NDST3,NDST2,GLCE,HS2ST1,HS6ST1,HS6ST2,HS6ST3,HS3ST1,HS3ST4,HS3ST5,HS3ST2,HS3ST4,HS3ST5,HS3ST1,HS3ST3B1,HS3ST3A1,HS3ST6,HS3ST4,HS3ST5,CHST12,CHST14,CHST11,CHST13,CHST7,CHPF2,CHPF,CHSY1,CHSY3,CHPF,CHSY1,CSGALNACT1,CSGALNACT2,CHSY3,CHPF2,CHPF,CHSY1,CHSY3,CHPF,CHSY1,CSGALNACT1,CSGALNACT2,CHSY3,CHST12,CHST14,CHST11,CHST13,CHST12,CHST14,CHST11,CHST13,DSE,UST,CHST3,CHST7,CHST15,CHPF2,CHPF,CHSY1,CHSY3,CHPF,CHSY1,CSGALNACT1,CSGALNACT2,CHSY3,CHST3,CHST7,CHST15,UST,CHPF2,CHPF,CHSY1,CHSY3,CHPF,CHSY1,CSGALNACT1,CSGALNACT2,CHSY3,CHST3,CHST7,CHST15,UST,CHST12,CHST14,CHST11,CHST13,CHST3,CHST7,CHST15,CHST7"
"Chondroitin sulfate degradation","ARSB,HEXB,HYAL2,HYAL4,SPAM1,HYAL1,HEXD,HYAL3,HEXA,HEXB,HEXD,HEXA,KL,GUSB,ARSB,HEXB,HYAL2,HYAL4,SPAM1,HYAL1,HEXD,HYAL3,HEXA,ARSB,HEXB,HYAL2,HYAL4,SPAM1,HYAL1,HEXD,HYAL3,HEXA,HEXB,HEXD,HEXA,IDS,IDUA,HEXB,HEXD,HEXA,HEXB,HEXD,HEXA,KL,GUSB,HEXB,HEXD,HEXA,HEXB,HEXD,HEXA,HEXB,HEXD,HEXA,HEXB,HEXD,HEXA,KL,GUSB,HEXB,HEXD,HEXA,HEXB,HEXD,HEXA,ARSB,HEXB,HYAL2,HYAL4,SPAM1,HYAL1,HEXD,HYAL3,HEXA,HEXB,HEXD,HEXA,KL,GUSB,HEXB,HEXD,HEXA,ARSB,CTSA,HYAL2,HYAL4,SPAM1,HYAL1,GALNS,GLB1,HYAL3,HEXB,HEXD,HEXA"
"Cysteine and methionine metabolism","MAT2B,MAT1A,MAT2A,AHCY,AHCYL2,CBS,CTH,GOT1,GOT2,MTR,ACY1,PON1,PON3,PON2,NAGS,MPST,TST,ATG9B,TXNRD2,TXNRD3,TXNRD1,TRDMT1,DNMT3A,DNMT3L,SUOX,CTH,CBS,SULT1A3,MRI1,APIP,ENOPH1,ADI1,ADI1,IL4I1,TAT,NAGS,NAGS,MPST,TST,MPST,TST,LDHB,LDHC,LDHAL6A,LDHAL6B,MPST,TST,EPX,LPO,SULT1A3,GOT1,GOT2,GOT2,MDH1,MDH1B,MDH2,TRDMT1,DNMT3A,DNMT3L,CTH,GOT2"
"Dietary fiber binding",""
